2
975,3505
11,1
FP32 ADD,FP32 MUL,FP32 FMA,INT,FP64 ADD,FP64 MUL,FP64 FMA,SFU,CF,L2,Shared,DRAM
mri-gridding,0.12455,0.040106,0.15763,0.21472,0,0,0,0.054185,0.24056,0.037649,0.20142,0.028274
cutcp,0.073277,0.1303,0.26592,0.030232,0,0,0,0.1039,0.32402,0.0083083,0.15787,0.0004427
lbm,0.027355,0.010954,0.03585,0.029737,0,0,0,0.0047659,0.011949,0.17529,0,0.58174
ATAX,0,0,0.0018833,0.00077784,0,0,0,0,9.7018e-05,0.10452,0,0.072555
BICG,0,0,0.0018715,0.00077298,0,0,0,0,9.7396e-05,0.1048,0,0.072664
2MM,0,0.003292,0.046088,0.098838,0,0,0,0,0.012617,0.5026,0,0.50084
3MM,1.3872e-05,3.4702e-06,0.003576,0.0010828,0,0,0,1.3131e-05,0.00020669,0.076063,0,0.05035
3DCONV,4.3339e-06,0,0.0035507,0.0010251,0,0,0,0,0.00017714,0.076231,0,0.050907
CORR,0.01253,0,0.0075176,0.13784,0,0,0,0,0.032992,0.35731,0,0.82167
COVAR,0,5.4052e-09,0.0002214,0.00013848,0,0,0,0,2.4003e-05,0.027485,0,0.066337
FDTD-2D,2.4112e-06,4.7048e-09,0.0049502,0.003759,0,0,0,8.9626e-06,0.00073139,0.014804,0,0.02556
GEMM,0,0.0062747,0.0062726,0.004245,0,0,0,0,0.0010211,0.64524,0,0.031977
GESUMMV,0,0,0,0.0014022,0,0.16778,0.16769,0,0.00027123,0.62479,0,0.058108
GRAMSCHM,0.0036062,0.0038466,0,0.12811,0.077163,0.30865,0.15433,0.054858,0.020835,0.13741,0.049619,0.27417
SYRK,1.3099e-06,0,0.0017999,0.084909,0,0,0,2.2771e-06,0.016875,0.091902,0,0.05852
SYRK_DOUBLE,0.012716,0.0021109,0.020746,0.12338,0.50829,0,0.38122,0.017304,0.037841,0.04823,0.068293,0.071991
hotspot3D,0.0029923,0,0.0029923,0.0077373,0,0,0,0,0.0078936,0.029291,0,0.10151
backprop,0.010285,0,0.010285,0.031255,0,0,0,0,0.027702,0.18689,0,0.59912
gaussian,0.007956,2.3374e-05,0.12765,0.20722,0,0,0,0.0001826,0.015581,0.29382,0.6258,0.51212
hotspot,0,0,0.00026163,0.10637,0.17569,0.13042,0.40969,0.00050336,0.084439,0.04239,2.2923e-05,0.016204
kmeans,0,0,0,0.029829,0,0,0,0,0.023916,0.016531,0,4.5299e-05
kmeans_2,0.023061,0.010788,0.0092895,0.24157,0.050105,0.10021,0.40084,0.038978,0.10502,0.23302,0.097523,0.49531
lud,0.0046686,0.0021547,0.01221,0.031304,0.014153,0.028306,0.11322,0.0044228,0.019857,0.038637,0.020114,0.10921
particlefilter_float,0.0028728,1.1135e-05,0.0028506,0.015048,0,0,0,0,0.00050319,0.033534,0,0.090446
particlefilter_naive,0.019817,0.00578,0.0079819,0.0032796,0.34827,0.20316,0.14027,0.019844,0.00044294,0.10526,0.06198,0.3659
srad_v1,0.011076,0,0,0.074848,0.15723,0,0,0,0.01482,0.19929,0.065467,0.69296
srad_v2,0.030886,0.0051477,0.010295,0.17369,0,0,0,0.013381,0.021187,0.13236,0.15823,0.3429
_streamcluster,0,0,0,0.057447,0.26446,0.044077,0.088154,0.0041322,0.0065427,0.078789,0.10592,0.21671
fft,0.0062592,5.5481e-06,0,0.093177,0,0,0,0.0067362,0.13677,0.080318,0.046575,0.15926
reduction,0.053092,0.1977,0.14016,0.044319,0,0,0,0.16502,0.033005,0.20484,0,0.71227
