2
975,3505
9,1
SP,INT,DP,SFU,LDST,CF,TEX,L2,Shared,DRAM
mri-gridding,0.32229,0.21472,0,0.054185,0.2249,0.24056,0.50685,0.037143,0.20542,0.027894
old_cutcp,0.46949,0.030232,0,0.1039,0.18764,0.32402,0.050825,0.0081836,0.16075,0.00043605
old_lbm,0.07416,0.029737,0,0.0047659,0.0052817,0.011949,1.0986,0.17504,0,0.58092
ATAX,0.0018833,0.00077784,0,0,6.2965e-07,9.7018e-05,0.33012,0.10331,0,0.071713
BICG,0.0018715,0.00077298,0,0,6.321e-07,9.7396e-05,0.33141,0.10364,0,0.071863
old_2MM,0.030061,0.0095333,0,0,0.00011201,0.0018201,5.5058,0.7226,0,0.1416
old_3MM,0.033973,0.011877,0,0,0.0010077,0.0022673,6.1954,0.7288,0,0.0081605
old_3DCONV,0.04938,0.098838,0,0,0.050492,0.012617,2.4212,0.49771,0,0.49597
old_CORR,0.0035934,0.0010828,0,1.3131e-05,5.2535e-05,0.00020669,0.65054,0.075599,0,0.050042
old_COVAR,0.003555,0.0010251,0,0,1.3153e-05,0.00017714,0.64981,0.075671,0,0.050533
old_FDTD-2D,0.020048,0.13784,0,0,0.11312,0.032992,2.1114,0.35722,0,0.82146
old_GEMM,0.059701,0.009397,0,0,5.6752e-05,0.0018303,5.5794,0.7299,0,0.14378
old_GESUMMV,0.00022141,0.00013848,0,0,3.7476e-08,2.4003e-05,0.049121,0.02726,0,0.065793
old_GRAMSCHM,0.0049527,0.003759,0,8.9626e-06,3.9109e-05,0.00073139,1.0091,0.014699,0,0.025378
old_SYRK,0.012547,0.004245,0,0,3.1661e-05,0.0010211,1.1674,0.63894,0,0.031665
old_SYRK_DOUBLE,0,0.0014022,0.33547,0,4.0941e-05,0.00027123,1.342,0.6063,0,0.056389
hotspot3D,0.063232,0.14728,0,0,0.0028114,0.011245,2.519,0.10465,0,0.1472
old_backprop,0.0074528,0.12811,0.54014,0.054858,0.11657,0.020835,0.81021,0.1358,0.050692,0.27096
old_gaussian,0.0017951,0.084619,0,2.2693e-06,0.054975,0.016818,0.19619,0.090555,0,0.057662
old_hotspot,0.035573,0.12338,0.88951,0.017304,0.10803,0.037841,0.18994,0.047536,0.069581,0.070954
old_kmeans,0.0031865,0.0041198,0,0,0.0061062,0.004203,0.18842,0.015569,0,0.053955
old_kmeans_2,0.020571,0.031255,0,0,0.039437,0.027702,1.3285,0.18652,0,0.5979
old_lud,0.13563,0.20722,0,0.0001826,0.84041,0.015581,1.9925,0.2917,0.64225,0.50843
old_particlefilter_float,0.00026163,0.10637,0.7158,0.00050336,0.00016457,0.084439,1.3737,0.041971,2.3462e-05,0.016043
old_particlefilter_naive,0,0.029579,0.18976,0,1.8998e-06,0.023715,0.38256,0.016201,0,4.4395e-05
old_srad_v1,0.042379,0.23731,0.54144,0.038291,0.16142,0.10317,1.4617,0.2275,0.098423,0.48356
old_srad_v2,0.019033,0.031304,0.15568,0.0044228,0.035396,0.019857,0.26924,0.038188,0.020552,0.10794
old_streamcluster,0.0056519,0.014831,0,0,0.00011542,0.00049594,0.32008,0.033053,0,0.089149
fft,0.032616,0.0031856,0.67187,0.019275,0.051457,0.00043024,0.36714,0.10123,0.061622,0.35192
reduction,0.011076,0.074848,0.15723,0,0.059353,0.01482,0.94086,0.19862,0.067447,0.69062
stencil2d,0.044548,0.16702,0,0.012867,0.19461,0.020373,0.63906,0.12698,0.15693,0.32896
stencil2d_double,0.00020488,0.056073,0.3872,0.0040334,0.061005,0.0063862,0.28637,0.076347,0.1061,0.20999
qtclustering,0.0061517,0.091495,0,0.0066146,0.062654,0.1343,0.38711,0.078251,0.046907,0.15517
old_Blackscholes,0.39095,0.044319,0,0.16502,0.016502,0.033005,0.92413,0.20483,0,0.71222
old_matrixMulCUBLAS,0.93015,0.026253,0,4.5212e-05,0.30511,0.003713,0.23959,0.14266,0.43751,0.26062
