2
975,3505
7,1
SP,INT,DP,SFU,CF,L2,Shared,DRAM
mri-gridding,0.32229,0.21472,0,0.054185,0.24056,0.037143,0.20542,0.027894
old_cutcp,0.46949,0.030232,0,0.1039,0.32402,0.0081836,0.16075,0.00043605
old_lbm,0.07416,0.029737,0,0.0047659,0.011949,0.17504,0,0.58092
ATAX,0.0018833,0.00077784,0,0,9.7018e-05,0.10331,0,0.071713
BICG,0.0018715,0.00077298,0,0,9.7396e-05,0.10364,0,0.071863
old_2MM,0.030061,0.0095333,0,0,0.0018201,0.7226,0,0.1416
old_3MM,0.033973,0.011877,0,0,0.0022673,0.7288,0,0.0081605
old_3DCONV,0.04938,0.098838,0,0,0.012617,0.49771,0,0.49597
old_CORR,0.0035934,0.0010828,0,1.3131e-05,0.00020669,0.075599,0,0.050042
old_COVAR,0.003555,0.0010251,0,0,0.00017714,0.075671,0,0.050533
old_FDTD-2D,0.020048,0.13784,0,0,0.032992,0.35722,0,0.82146
old_GEMM,0.059701,0.009397,0,0,0.0018303,0.7299,0,0.14378
old_GESUMMV,0.00022141,0.00013848,0,0,2.4003e-05,0.02726,0,0.065793
old_GRAMSCHM,0.0049527,0.003759,0,8.9626e-06,0.00073139,0.014699,0,0.025378
old_SYRK,0.012547,0.004245,0,0,0.0010211,0.63894,0,0.031665
old_SYRK_DOUBLE,0,0.0014022,0.33547,0,0.00027123,0.6063,0,0.056389
hotspot3D,0.065573,0.15273,0,0,0.011662,0.10852,0,0.15265
old_backprop,0.0074528,0.12811,0.54014,0.054858,0.020835,0.1358,0.050692,0.27096
old_gaussian,0.0017951,0.084619,0,2.2693e-06,0.016818,0.090555,0,0.057662
old_hotspot,0.035573,0.12338,0.88951,0.017304,0.037841,0.047536,0.069581,0.070954
old_kmeans,0.0037789,0.0048856,0,0,0.0049843,0.018464,0,0.063985
old_kmeans_2,0.020571,0.031255,0,0,0.027702,0.18652,0,0.5979
old_lud,0.13563,0.20722,0,0.0001826,0.015581,0.2917,0.64225,0.50843
old_particlefilter_float,0.00026163,0.10637,0.7158,0.00050336,0.084439,0.041971,2.3462e-05,0.016043
old_particlefilter_naive,0,0.029829,0.19137,0,0.023916,0.016338,0,4.4771e-05
old_srad_v1,0.043139,0.24157,0.55115,0.038978,0.10502,0.23158,0.10019,0.49223
old_srad_v2,0.019033,0.031304,0.15568,0.0044228,0.019857,0.038188,0.020552,0.10794
old_streamcluster,0.0057226,0.015016,0,0,0.00050215,0.033467,0,0.090265
fft,0.033232,0.0032458,0.68456,0.019639,0.00043837,0.10315,0.062787,0.35857
reduction,0.011076,0.074848,0.15723,0,0.01482,0.19862,0.067447,0.69062
stencil2d,0.044548,0.16702,0,0.012867,0.020373,0.12698,0.15693,0.32896
stencil2d_double,0.0002099,0.057447,0.39669,0.0041322,0.0065427,0.078218,0.1087,0.21514
qtclustering,0.0061517,0.091495,0,0.0066146,0.1343,0.078251,0.046907,0.15517
old_Blackscholes,0.39095,0.044319,0,0.16502,0.033005,0.20483,0,0.71222
old_matrixMulCUBLAS,0.93015,0.026253,0,4.5212e-05,0.003713,0.14266,0.43751,0.26062
