2
1404,5705
6,1
SP,INT,DP,SFU,L2,Shared,DRAM
mri-gridding,0.32349,0.21552,0,0.054385,0.052415,0.21272,0.035174
old_cutcp,0.44277,0.032483,0,0.098117,0.011681,0.16853,0.00043821
old_lbm,0.074634,0.029927,0,0.0047316,0.21319,0,0.67622
ATAX,0.0048318,0.0010897,0,0,0.29413,0,0.17361
BICG,0.0048179,0.0010865,0,0,0.29366,0,0.17331
MVT,0.0013844,0.00027759,0,0,0.097265,0,0.1623
old_2MM,0.027732,0.0087949,0,0,0.92822,0,0.16178
old_3MM,0.028115,0.0094999,0,0,0.86488,0,0.0084884
old_3DCONV,0.053102,0.10629,0,0,0.71284,0,0.63657
old_CORR,0.0034596,0.0010425,0,1.2642e-05,0.078987,0,0.045933
old_COVAR,0.0034298,0.00098899,0,0,0.079038,0,0.047002
old_FDTD-2D,0.015055,0.10351,0,0,0.33434,0,0.68634
old_GEMM,0.056014,0.0088166,0,0,0.94235,0,0.1652
old_GESUMMV,0.00061924,0.00038729,0,0,0.065566,0,0.1458
old_GRAMSCHM,0.0045144,0.0034131,0,8.2661e-06,0.014847,0,0.022842
old_SYRK,0.010732,0.0036309,0,0,0.46609,0,0.030148
old_SYRK_DOUBLE,0,0.00047081,0.11264,0,0.24769,0,0.3003
hotspot3D,0.070327,0.1638,0,0,0.18031,0,0.22607
dwt2d,0,0.16069,0,4.7394e-05,0.21364,0.17108,0.64764
old_backprop,0.0064164,0.1105,0.43813,0.044497,0.15569,0.042641,0.27729
old_gaussian,0.0013638,0.062934,0,1.6884e-06,0.090505,0,0.051411
old_hotspot,0.037434,0.14808,0.87987,0.017116,0.066252,0.071163,0.088252
old_kmeans,0.037011,0.041675,0,0,0.2162,0,0.67053
old_kmeans_2,0.020412,0.035156,0,0,0.2252,0,0.69149
old_lud,0.094917,0.13454,0,0.0001272,0.27298,0.45458,0.4247
old_particlefilter_float,0.00022561,0.092393,0.62195,0.00043695,0.047271,1.94e-05,0.016322
old_particlefilter_naive,0,0.095046,0.60378,0,0.072873,0,5.2134e-05
old_srad_v1,0.060444,0.19496,0.53163,0.051389,0.31016,0.098451,0.58853
old_srad_v2,0.020901,0.039319,0.18484,0.0052512,0.060191,0.023767,0.1516
old_streamcluster,0.018882,0.13445,0,0,0.1397,0,0.3358
bfs,0,0.029234,0,0.0010348,0.00019129,0.0022766,8.4815e-05
md5hash,4.2331e-05,0.67238,0,0.00049163,1.6368e-05,0,4.8568e-05
fft,0.037174,0.0036307,0.76649,0.02199,0.15379,0.068689,0.47737
sort,3.7724e-09,0.18837,0,0.00010742,0.2353,0.33895,0.69732
reduction,0.009886,0.037171,0.13683,0,0.21613,0.053847,0.67084
stencil2d,0.065686,0.24627,0,0.018972,0.24876,0.22555,0.61191
stencil2d_double,0.00028502,0.078006,0.53865,0.005611,0.15161,0.15459,0.3911
s3d,0.020526,0.046647,0.39721,0.0056697,0.15933,0,0.46079
s3d_double,0.0017841,0.028785,0.57889,0.0022805,0.19169,0,0.56474
qtclustering,0.0047913,0.071261,0,0.0054565,0.08434,0.037092,0.14903
old_Blackscholes,0.37254,0.042232,0,0.15726,0.24402,0,0.75742
