2
975,3505
6,1
SP,INT,DP,SF,L2,Shared,DRAM
streamcluster,0.0065652,0.046747,0,0,0.039836,0,0.10733
backprop,0.029646,0.1578,0.46532,0.13451,0.1052,0.03924,0.21002
lud,0.13084,0.18545,0,0.00017533,0.29286,0.76745,0.51052
2mm,0.03251,0.034645,0,0,0.69131,0,0.13526
fdtd-2d,0.019404,0.16009,0,0,0.35632,0,0.81942
syrk,0.012671,0.0053118,0,0,0.56029,0,0.028144
corr,0.0039016,0.0043349,0,1.3126e-05,0.06668,0,0.044316
gemm,0.062146,0.033062,0,0,0.66262,0,0.13178
gesummv,0.00018076,0.00018086,0,0,0.021398,0,0.051505
gramschm,0.0050312,0.0058417,0,2.6809e-08,0.014164,0,0.025039
syrk_double,0,0.0026428,0.34648,0,0.55789,0,0.19013
3mm,0.033222,0.036142,0,0,0.63784,0,0.0084349
gaussian,0.0018307,0.084482,0,2.2664e-06,0.079836,0,0.052016
hotspot,0.032925,0.12526,0.833,0.016205,0.040632,0.067933,0.061331
3dconv,0.05407,0.10822,0,0,0.45655,0,0.45583
covar,0.0016184,0.0065165,0,0,0.066614,0,0.045546
particlefilter_naive,0,0.037386,0.24038,0,0.018119,0,0.0005345
particlefilter_float,0.00026066,0.10613,0.70836,0.00049823,0.037091,2.3792e-05,0.014145
kmeans,0.0049406,0.005619,0,0,0.023634,0,0.081826
kmeans_2,0.020299,0.034608,0,0,0.18182,0,0.58207
srad_v1,0.038529,0.12758,0.33106,0.032001,0.14102,0.070341,0.30008
srav_v2,0.022685,0.041406,0.19228,0.0054626,0.044549,0.031139,0.12597
blackscholes,0.15069,0.017083,0,0.062719,0.07934,0,0.27587
conjugategradientum,0.0055312,0.048052,0,0,0.037724,0.016012,0.10328
cutcp,0.45194,0.033155,0,0.097433,0.0068539,0.13024,0.0003374
lbm,0.068267,0.027427,0,0.0042814,0.15631,0,0.51839
mri-gridding,0.17912,0.11934,0.097525,0.041995,0.037143,0.20542,0.027894
atax,0.0017248,0.00071238,0,0,0.10331,0,0.071713
bicg,0.0018224,0.00075269,0,0,0.10364,0,0.071863
hotspot3d,0.060809,0.14163,0,0,0.12209,0,0.17173
dwt2d,0,0.12271,1.5835e-05,4.3251e-05,0.16799,0.18328,0.5699
bfs,0,0.0048387,0,0,0.00018838,0.0029683,0.00011064
fft,0.042542,0.004155,0.51377,0.020205,0.1137,0.069209,0.39524
sort,2.3283e-09,0.11626,6.7765e-05,7.6236e-05,0.13873,0.27237,0.46057
reduction,0.010047,0.067898,0.094337,0,0.19862,0.067447,0.69062
stencil2d,0.043089,0.16155,0.01239,0.013939,0.15285,0.18889,0.39598
stencil2d_double,0.00021622,0.059176,0.38937,0.0045159,0.094979,0.13199,0.26124
s3d,0.017738,0.04031,0.32689,0.0051754,0.12273,0,0.39578
s3d_double,0.001725,0.027832,0.4743,0.0020938,0.14683,0,0.4821
qtclustering,0.006305,0.093775,2.6171e-06,0.0068878,0.081486,0.048847,0.16158
